Date,DIA_LSTM_Pred,SPY_LSTM_Pred,QQQ_LSTM_Pred,Risk_free
2014-01-02,0.007920378,0.009402094,0.006044595,2.985
2014-01-03,-0.0010879633,-0.0013506871,0.0051380224,2.995
2014-01-06,-0.0032926584,0.0032412123,0.0005877104,2.9610000000000003
2014-01-07,-6.516292e-05,0.006239534000000001,-0.0056361225,2.937
2014-01-08,-0.0023019258,0.0033385684000000002,0.010150200000000002,2.9930000000000003
2014-01-09,-0.0008153416,0.000690321,0.005535617,2.963
2014-01-10,0.0032719155,0.0050495607000000005,-0.0020569842,2.86
2014-01-13,-0.0011153731,0.00075064437,0.0019341684,2.827
2014-01-14,0.0036759320000000002,0.005607308,0.0019805646,2.8689999999999998
2014-01-15,-0.0004484043,-0.0024247398000000002,0.0031160111999999998,2.884
2014-01-16,0.006248549,0.0053594969999999995,-0.002739375,2.843
2014-01-17,-0.0033986479999999998,0.0006370475,-0.0015038410000000001,2.827
2014-01-21,0.0008226361,-0.0014036706,0.0034641817,2.825
2014-01-22,0.002321966,0.0037547354999999997,0.003356258,2.86
2014-01-23,0.0031851344,-0.004914545,-0.010592331000000002,2.773
2014-01-24,-0.001759248,0.007970416,-0.0053427275,2.735
2014-01-27,-0.003584783,0.005374751999999999,0.0039340383000000005,2.766
2014-01-28,-0.0017071532999999998,-0.0009437727000000001,-0.0021323545,2.7460000000000004
2014-01-29,-0.0010783405,0.0036887454,0.006737069,2.675
2014-01-30,0.004137764699999999,-0.0020790354,-0.0052434267000000005,2.693
2014-01-31,0.00057054724,0.0007044612400000001,-0.012405333000000001,2.668
2014-02-03,0.007293811,0.008588848,0.003330323,2.5810000000000004
2014-02-04,-0.00088655413,-0.0014885864000000002,0.02239895,2.6239999999999997
2014-02-05,0.005681270699999999,0.012092888999999999,0.007951505,2.667
2014-02-06,0.017740108,0.002324316,-0.0023899782,2.702
2014-02-07,0.001266696,-0.004788412,-0.0012108954,2.675
2014-02-10,0.00029334432,0.0031287007,-0.015537793000000001,2.678
2014-02-11,-0.0007710692,0.008790143,-0.0012916957,2.719
2014-02-12,-0.0006235826,-0.0016628695000000001,-0.007031506999999999,2.763
2014-02-13,0.010194326,-0.00038510733,0.0072031273,2.736
2014-02-14,-0.0036462476000000002,-0.0028239746999999997,-0.0012701731,2.7460000000000004
2014-02-18,0.00049049506,-0.008796119,-0.00022337819,2.7110000000000003
2014-02-19,-0.01435472,-0.0026503156,-0.0018257094,2.734
2014-02-20,-0.012085728,0.0009277742,0.00023854911,2.7539999999999996
2014-02-21,-0.0077255145,-0.0057026055,-0.014548186999999999,2.734
2014-02-24,-0.009111218,-0.00035252338,0.006270276,2.75
2014-02-25,-0.010289784,0.001632113,0.00058327924,2.701
2014-02-26,-0.0059960517,-0.0018554304,-0.0061227987,2.673
2014-02-27,-0.010008933000000001,-2.2054272e-05,0.0016474342000000002,2.642
2014-02-28,-0.0063893693,0.0010687123,0.00081139937,2.658
2014-03-03,-0.005368830600000001,0.0012867652000000001,0.00209835,2.6069999999999998
2014-03-04,0.001165281,0.005187852,-0.0041253925,2.6910000000000003
2014-03-05,-0.002872678,0.006108699,0.0016975773000000001,2.698
2014-03-06,-0.0044524366999999995,0.0061258418,0.0025444515,2.737
2014-03-07,0.0025037582999999997,-0.0007254657,0.0010409624,2.79
2014-03-10,0.0023332164,0.008468793,-0.00088249036,2.784
2014-03-11,0.004295265,-0.002241981,-0.0072610425,2.766
2014-03-12,-0.0007872717699999999,-0.0023966916,-0.0038908746,2.7260000000000004
2014-03-13,-0.005729206,0.006263615,-0.0041726029999999996,2.653
2014-03-14,-0.0007176389,-0.0017304735000000001,0.0015399412,2.645
2014-03-17,0.0024063997,0.012215628999999999,-0.0016807525,2.699
